timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-06-11 17:17:06.961,julius-pod-gu-257,Pending,minikube,minikube,68,0
2024-06-11 17:17:07.874,julius-pod-gu-257,Running,minikube,minikube,68,0
2024-06-11 17:17:10.949,julius-pod-gu-234,Running,minikube,minikube-m02,48,11
2024-06-11 17:17:12.172,julius-pod-gu-234,Succeeded,minikube,minikube-m02,48,11
2024-06-11 17:17:13.055,julius-pod-gu-234,Succeeded,minikube,minikube-m02,48,11
2024-06-11 17:17:13.435,julius-pod-gu-277,Pending,minikube,minikube-m02,106,11
2024-06-11 17:17:13.455,julius-pod-gu-277,Pending,minikube,minikube-m02,106,11
2024-06-11 17:17:14.337,aeneas-pod-gu-82,Running,minikube-m02,minikube-m02,93,0
2024-06-11 17:17:15.134,julius-pod-gu-277,Running,minikube,minikube-m02,106,11
2024-06-11 17:17:15.495,aeneas-pod-gu-82,Succeeded,minikube-m02,minikube-m02,93,0
2024-06-11 17:17:15.889,aeneas-pod-gu-94,Pending,minikube-m02,minikube,71,11
2024-06-11 17:17:15.905,aeneas-pod-gu-94,Pending,minikube-m02,minikube,71,11
2024-06-11 17:17:16.385,aeneas-pod-gu-82,Succeeded,minikube-m02,minikube-m02,93,0
2024-06-11 17:17:17.535,aeneas-pod-gu-94,Running,minikube-m02,minikube,71,11
2024-06-11 17:17:20.301,julius-pod-gu-245,Running,minikube,minikube,107,0
2024-06-11 17:17:21.457,julius-pod-gu-245,Succeeded,minikube,minikube,107,0
2024-06-11 17:17:22.148,julius-pod-gu-282,Pending,minikube,minikube-m02,65,11
2024-06-11 17:17:22.164,julius-pod-gu-282,Pending,minikube,minikube-m02,65,11
2024-06-11 17:17:22.328,julius-pod-gu-245,Succeeded,minikube,minikube,107,0
2024-06-11 17:17:23.364,julius-pod-gu-282,Running,minikube,minikube-m02,65,11
2024-06-11 17:18:15.658,julius-pod-gu-257,Running,minikube,minikube,68,0
2024-06-11 17:18:16.817,julius-pod-gu-257,Succeeded,minikube,minikube,68,0
2024-06-11 17:18:17.183,julius-pod-gu-283,Pending,minikube,minikube,12,0
2024-06-11 17:18:17.200,julius-pod-gu-283,Pending,minikube,minikube,12,0
2024-06-11 17:18:17.704,julius-pod-gu-257,Succeeded,minikube,minikube,68,0
2024-06-11 17:18:18.846,julius-pod-gu-283,Running,minikube,minikube,12,0
2024-06-11 17:18:20.633,aeneas-pod-gu-94,Running,minikube-m02,minikube,71,11
2024-06-11 17:18:21.842,aeneas-pod-gu-94,Succeeded,minikube-m02,minikube,71,11
2024-06-11 17:18:22.368,aeneas-pod-gu-104,Pending,minikube-m02,minikube-m02,14,0
2024-06-11 17:18:22.386,aeneas-pod-gu-104,Pending,minikube-m02,minikube-m02,14,0
2024-06-11 17:18:22.652,aeneas-pod-gu-94,Succeeded,minikube-m02,minikube,71,11
2024-06-11 17:18:22.989,julius-pod-gu-277,Running,minikube,minikube-m02,106,11
2024-06-11 17:18:23.682,mrleo-pod-gu-91,Running,minikube-m02,minikube-m02,103,0
2024-06-11 17:18:23.696,aeneas-pod-gu-104,Running,minikube-m02,minikube-m02,14,0
2024-06-11 17:18:24.156,julius-pod-gu-277,Succeeded,minikube,minikube-m02,106,11
2024-06-11 17:18:24.919,mrleo-pod-gu-91,Succeeded,minikube-m02,minikube-m02,103,0
2024-06-11 17:18:25.041,julius-pod-gu-277,Succeeded,minikube,minikube-m02,106,11
2024-06-11 17:18:25.114,aeneas-pod-gu-105,Pending,minikube-m02,minikube,124,11
2024-06-11 17:18:25.129,aeneas-pod-gu-105,Pending,minikube-m02,minikube,124,11
2024-06-11 17:18:25.137,julius-pod-gu-310,Pending,minikube,minikube-m02,81,11
2024-06-11 17:18:25.144,julius-pod-gu-310,Pending,minikube,minikube-m02,81,11
2024-06-11 17:18:25.747,mrleo-pod-gu-91,Succeeded,minikube-m02,minikube-m02,103,0
2024-06-11 17:18:26.080,julius-pod-gu-310,Running,minikube,minikube-m02,81,11
2024-06-11 17:18:26.835,aeneas-pod-gu-105,Running,minikube-m02,minikube,124,11
2024-06-11 17:18:30.200,julius-pod-gu-282,Running,minikube,minikube-m02,65,11
2024-06-11 17:18:31.391,julius-pod-gu-282,Succeeded,minikube,minikube-m02,65,11
2024-06-11 17:18:32.269,julius-pod-gu-282,Succeeded,minikube,minikube-m02,65,11
2024-06-11 17:18:32.475,julius-pod-gu-344,Pending,minikube,minikube,122,0
2024-06-11 17:18:32.488,julius-pod-gu-344,Pending,minikube,minikube,122,0
2024-06-11 17:18:34.351,julius-pod-gu-344,Running,minikube,minikube,122,0
2024-06-11 17:19:25.612,julius-pod-gu-283,Running,minikube,minikube,12,0
2024-06-11 17:19:25.817,aeneas-pod-gu-104,Running,minikube-m02,minikube-m02,14,0
2024-06-11 17:19:26.789,julius-pod-gu-283,Succeeded,minikube,minikube,12,0
2024-06-11 17:19:26.996,aeneas-pod-gu-104,Succeeded,minikube-m02,minikube-m02,14,0
2024-06-11 17:19:27.570,mrleo-pod-gu-107,Pending,minikube-m02,minikube-m02,53,0
2024-06-11 17:19:27.591,julius-pod-gu-351,Pending,minikube,minikube,49,0
2024-06-11 17:19:27.601,mrleo-pod-gu-107,Pending,minikube-m02,minikube-m02,53,0
2024-06-11 17:19:27.612,julius-pod-gu-351,Pending,minikube,minikube,49,0
2024-06-11 17:19:27.663,julius-pod-gu-283,Succeeded,minikube,minikube,12,0
2024-06-11 17:19:27.865,aeneas-pod-gu-104,Succeeded,minikube-m02,minikube-m02,14,0
2024-06-11 17:19:27.876,aeneas-pod-gu-105,Running,minikube-m02,minikube,124,11
2024-06-11 17:19:28.699,julius-pod-gu-351,Running,minikube,minikube,49,0
2024-06-11 17:19:28.897,mrleo-pod-gu-107,Running,minikube-m02,minikube-m02,53,0
2024-06-11 17:19:29.055,aeneas-pod-gu-105,Succeeded,minikube-m02,minikube,124,11
2024-06-11 17:19:29.330,mrleo-pod-gu-111,Pending,minikube-m02,minikube-m02,83,0
2024-06-11 17:19:29.347,mrleo-pod-gu-111,Pending,minikube-m02,minikube-m02,83,0
